gender,confidence_in_career,career_decision_factors,How_did you_choose_your_career_path? ,career_advice_sought,career_choice_pressure,career_alignment,doubts_about_career,confidence_in_switching_career,career_path_and_academic_failure,school_career_counseling
1,1,2,4,0,1,1,1,0,1,1
1,1,4,1,0,0,1,0,0,1,1
1,0,2,2,0,1,0,1,1,1,1
0,1,2,1,0,0,0,1,0,1,1
1,1,3,2,0,1,0,1,1,0,1
1,1,4,1,1,1,1,1,1,1,1
1,1,2,4,0,1,1,1,0,1,0
1,1,2,4,1,0,1,0,0,0,1
0,1,3,4,0,1,1,0,0,1,1
0,1,2,4,0,0,1,0,0,1,1
1,1,3,1,0,0,1,0,0,1,1
1,1,4,4,0,0,1,0,0,1,1
1,1,2,5,0,1,1,0,0,1,1
0,1,2,1,0,0,0,1,1,1,1
0,1,3,2,0,1,0,0,0,1,1
1,1,1,4,0,1,0,1,1,0,0
1,1,2,4,1,0,1,0,1,1,0
1,1,2,4,0,0,1,0,0,1,1
1,1,3,2,0,1,1,0,0,1,1
1,1,2,4,1,0,1,0,0,1,1
1,1,1,3,1,1,1,0,0,1,1
0,0,5,5,0,0,1,1,1,1,0
1,1,2,4,0,0,1,0,1,1,1
1,1,3,3,0,0,0,1,0,0,1
0,1,2,4,0,0,1,0,0,1,1
0,1,3,6,1,0,1,0,1,1,1
0,1,3,1,0,0,1,0,0,1,1
1,1,1,4,1,0,1,0,0,1,1
1,1,5,1,0,0,0,0,0,1,1
1,1,4,6,0,1,1,0,0,1,0
0,1,2,4,0,0,1,0,1,1,1
0,1,3,2,1,0,1,1,1,1,0
0,1,2,1,1,1,1,0,0,1,1
0,1,2,4,1,0,1,0,0,1,1
1,1,2,5,1,0,1,1,1,0,1
0,1,2,4,1,1,1,0,0,0,1
1,0,2,3,1,1,1,1,0,1,1
1,0,2,5,0,1,1,0,1,1,1
1,0,3,4,0,0,1,1,1,1,1
1,1,4,1,0,0,1,1,1,0,0
1,1,2,4,1,0,1,0,1,1,1
1,1,4,3,1,0,1,0,0,0,1
1,1,3,4,1,0,0,0,0,1,0
1,1,3,3,1,1,1,0,0,0,1
0,1,5,5,0,1,0,1,1,1,1
1,1,3,4,0,1,1,1,0,1,0
1,1,2,1,0,0,1,0,0,1,1
1,1,3,4,0,1,0,0,0,0,1
1,1,3,3,1,0,1,0,0,1,1
0,1,4,4,1,0,1,0,1,0,1
0,0,1,1,0,1,0,1,1,1,1
1,1,2,4,1,0,1,0,0,1,1
0,1,4,5,0,0,1,0,0,1,1
1,0,4,1,0,1,1,1,1,1,1
1,0,2,5,0,0,0,1,0,0,1
0,1,5,4,0,0,1,1,1,1,1
1,1,4,1,0,0,1,0,0,1,1
0,1,4,4,0,0,0,0,1,0,1
0,1,1,4,1,0,1,0,1,0,1
1,1,2,4,0,0,1,0,0,0,1
1,1,4,4,1,0,1,0,0,1,1
0,0,2,1,0,0,0,1,0,1,1
1,1,2,5,0,1,0,1,1,1,1
1,0,3,4,0,1,1,1,0,1,1
1,1,2,4,1,0,1,0,0,1,1
0,1,2,4,0,0,1,0,0,1,1
0,1,3,5,1,0,0,1,1,1,1
1,1,3,2,0,0,0,1,1,1,1
1,1,2,4,1,1,1,1,0,1,1
1,1,1,4,1,0,1,0,0,1,0
0,1,3,1,0,1,0,1,0,1,1
1,1,5,1,0,1,1,1,1,1,1
0,1,5,5,0,1,1,0,0,1,1
1,1,2,4,0,0,1,0,0,1,1
1,1,2,4,1,0,0,0,0,1,0
0,1,3,2,1,0,1,0,1,1,1
1,1,2,4,0,0,1,0,1,1,1
0,1,4,6,1,0,1,0,0,0,1
0,1,5,4,0,0,1,0,0,1,1
0,1,3,6,0,1,1,0,0,1,1
1,1,4,1,1,0,1,1,1,1,1
0,1,2,4,1,0,1,0,0,1,1
1,1,2,1,0,0,1,1,0,1,0
0,1,1,2,1,0,1,1,0,1,1
0,1,5,4,1,0,1,1,1,1,1
1,1,2,4,1,0,1,0,0,1,1
1,0,2,4,1,1,1,1,0,1,1
1,1,2,4,0,1,1,1,0,1,1
1,1,4,1,0,0,0,0,0,0,1
0,1,3,3,1,0,1,0,0,0,1
0,1,3,4,0,0,1,0,1,0,0
0,0,1,1,0,0,0,1,1,1,1
0,0,2,1,0,1,1,1,1,1,1
0,1,1,4,0,1,1,0,0,1,1
1,1,2,4,1,1,1,1,1,0,1
0,0,3,2,0,1,0,0,0,1,1
0,0,3,2,0,1,0,0,0,1,1
0,0,1,1,0,1,0,1,0,1,1
0,0,1,1,0,1,0,0,0,1,1
0,0,3,2,0,1,0,0,0,1,1
0,0,3,2,0,1,0,0,0,1,1
